timestamp,student_id,student_name,age,height_cm,weight_kg,gender,zone,movement_type,amplitude_dbm,intensity_percent,phase_variance,subcarrier_count,rssi_dbm,noise_floor_dbm,subcarrier_values
2026-05-07T19:30:00,1,Pessoa #1,33,155,64,M,A,parada,348.01,26.67,4.31,56,-40,-95.0,[30 4] [14 17] [17 -33] [-38 -2] [-21 -25] [17 -35] [25 23] [-17 33] [-35 -7] [-40 -8] [18 -26] [0 -38] [34 17] [12 31] [17 -31] [-1 -41] [-7 -30] [-15 -24] [34 13] [19 -29] [-25 13] [-31 -19] [40 0] [5 -28] [19 -23] [-27 15] [-29 4] [17 -25] [-6 27] [19 -24] [-29 12] [-22 28] [-23 -17] [-22 -26] [-34 10] [3 31] [20 -23] [-38 -14] [-36 -1] [-36 11] [-13 27] [37 0] [-29 -13] [17 -34] [29 -19] [12 -30] [-7 30] [17 17] [-34 7] [-6 28] [33 14] [30 8] [19 31] [29 16] [0 32] [-27 12]
2026-05-07T19:30:01,1,Pessoa #1,33,155,64,M,A,parada,333.85,25.67,6.53,56,-40,-95.0,[22 -23] [28 -11] [33 -5] [-28 13] [34 -3] [-33 0] [-29 -1] [-18 25] [-20 23] [-23 -18] [-26 22] [-14 30] [30 1] [26 -22] [1 -28] [20 -29] [33 15] [25 -18] [10 -28] [-25 14] [15 30] [-30 14] [13 -27] [22 -24] [16 21] [28 -14] [23 -20] [-6 -32] [-26 12] [-25 -27] [19 -24] [32 -3] [18 -33] [-24 21] [-21 23] [34 -3] [23 -11] [-7 30] [-24 -27] [-14 -25] [-27 -21] [13 -30] [36 2] [34 -1] [-28 10] [-30 0] [30 -8] [-5 -32] [-7 -31] [-1 31] [5 34] [35 1] [-22 30] [23 -24] [-26 -25] [31 7]
2026-05-07T19:30:02,1,Pessoa #1,33,155,64,M,A,parada,320.08,26.17,3.54,56,-40,-95.0,[29 22] [22 19] [32 -1] [-5 -27] [-30 16] [8 23] [-12 31] [-25 -16] [-26 -5] [-29 -15] [-29 12] [31 -9] [-23 -24] [-15 30] [33 4] [9 -28] [26 -16] [-29 -18] [-25 5] [14 23] [-26 12] [-22 25] [6 -33] [-23 -17] [-29 -23] [10 28] [14 -28] [5 32] [-33 -9] [0 33] [28 22] [-25 -15] [-16 -29] [-23 -25] [18 27] [26 3] [27 2] [9 24] [-10 -24] [32 -6] [-9 -32] [32 -14] [-1 -27] [32 2] [-29 10] [-1 31] [33 -8] [-26 -17] [18 28] [31 -1] [-31 4] [7 -31] [15 -32] [-31 -12] [32 7] [-20 -28]
2026-05-07T19:30:03,1,Pessoa #1,33,155,64,M,A,parada,348.83,28.79,6.44,56,-40,-95.0,[-32 20] [-12 -33] [-31 -11] [27 -38] [-23 25] [32 13] [35 5] [-36 -14] [7 -31] [27 -19] [-12 -24] [-7 -36] [-30 -1] [-20 -28] [-19 -36] [-36 3] [-23 20] [-17 28] [-24 -12] [-31 0] [-38 -10] [9 -38] [27 -18] [28 28] [17 24] [16 33] [-30 -13] [6 -30] [30 -25] [-10 33] [29 -7] [34 -6] [-16 33] [23 26] [-29 -4] [-29 -22] [28 0] [-16 27] [-33 -10] [5 33] [-18 -23] [24 -28] [38 -7] [3 28] [25 29] [19 -25] [-29 -19] [-14 -34] [-22 21] [-7 35] [-23 25] [27 17] [26 -21] [-26 19] [-17 28] [-28 -2]
2026-05-07T19:30:04,1,Pessoa #1,33,155,64,M,A,parada,355.04,25.53,4.66,56,-40,-95.0,[-6 37] [-34 -2] [33 -11] [27 -20] [-12 35] [1 -40] [36 3] [-37 6] [19 30] [-4 39] [-30 -3] [32 -9] [36 -3] [-17 -31] [-24 -19] [10 -31] [29 -17] [6 -36] [22 23] [29 9] [-26 -22] [-35 12] [19 29] [34 6] [-36 10] [7 -34] [-1 35] [2 33] [36 -4] [-36 1] [-8 36] [3 -33] [38 1] [12 -35] [34 6] [9 38] [38 9] [-23 20] [0 -27] [-35 5] [16 29] [-29 -16] [-36 0] [3 33] [-39 -6] [28 19] [16 -32] [32 -8] [9 26] [41 0] [-31 -3] [29 14] [16 -32] [33 13] [28 21] [26 -25]
2026-05-07T19:30:05,1,Pessoa #1,33,155,64,M,A,levantamento_bracos,426.34,70.56,16.45,56,-40,-95.0,[20 30] [1 -45] [29 25] [-31 -21] [25 -33] [0 43] [38 -21] [21 -31] [-33 -16] [-22 -40] [-24 -40] [-42 9] [33 -1] [41 22] [27 -37] [32 34] [-44 1] [38 -17] [-8 -49] [7 -38] [-47 -12] [37 19] [0 45] [33 42] [-12 -42] [23 36] [-12 39] [8 37] [35 -24] [39 -5] [7 35] [-9 -37] [27 -25] [-48 0] [-25 -26] [37 17] [-41 3] [43 6] [36 -18] [42 -32] [12 -42] [24 31] [40 -4] [0 38] [-45 0] [-35 -31] [-33 28] [19 -39] [28 -30] [32 29] [-40 3] [26 -41] [-6 -38] [-26 36] [-44 10] [1 -37]
2026-05-07T19:30:06,1,Pessoa #1,33,155,64,M,A,levantamento_bracos,407.09,70.24,14.89,56,-40,-95.0,[14 -45] [13 -25] [-27 -12] [42 10] [26 38] [8 -34] [41 -21] [17 33] [34 -24] [24 25] [-39 22] [-29 -19] [-6 -35] [32 -13] [-12 35] [13 -32] [8 42] [-6 -46] [41 -11] [-12 -39] [41 6] [-6 -41] [35 20] [-14 -38] [41 25] [18 -35] [-3 37] [0 -42] [-35 -22] [-25 27] [39 26] [43 -6] [-11 -43] [-31 -26] [2 -32] [21 -25] [-22 32] [30 -15] [-31 32] [-29 25] [-38 -5] [38 4] [0 -43] [3 -39] [33 -22] [-37 -16] [-43 -15] [38 16] [0 -39] [-5 44] [-42 17] [-6 -42] [-22 -38] [40 -1] [-2 43] [-4 42]
2026-05-07T19:30:07,1,Pessoa #1,33,155,64,M,A,levantamento_bracos,406.2,65.42,15.49,56,-40,-95.0,[23 -30] [-36 23] [11 40] [25 -33] [38 19] [2 -42] [-14 30] [-40 7] [-31 -31] [7 35] [47 -20] [4 44] [-15 -35] [-34 28] [29 -19] [44 -9] [-43 8] [25 -30] [16 -38] [34 -26] [-32 14] [9 -40] [26 20] [-31 24] [-14 -37] [-35 17] [33 -16] [18 -39] [-33 25] [-4 -39] [38 6] [39 -2] [-16 35] [-32 21] [-22 27] [21 39] [-38 -12] [39 -9] [39 -15] [-9 40] [31 25] [-30 -29] [18 -39] [-39 7] [-31 32] [-29 -24] [-34 -8] [30 -30] [-24 -35] [22 -28] [-46 -2] [38 -5] [6 -35] [-41 16] [28 -32] [36 1]
2026-05-07T19:30:09,1,Pessoa #1,33,155,64,M,A,levantamento_bracos,409.75,76.99,13.39,56,-40,-95.0,[-10 38] [-41 1] [42 1] [22 -35] [31 -20] [30 -21] [-40 -26] [33 -22] [16 39] [-40 -8] [20 38] [-10 43] [32 -14] [34 -24] [9 -35] [-14 -32] [21 -37] [-11 -39] [-19 38] [44 -13] [-35 -4] [-41 10] [32 11] [-28 -38] [-36 -6] [-16 -37] [-27 -38] [-4 33] [-25 -38] [22 -23] [12 -34] [41 -16] [-21 31] [-30 -3] [43 -14] [-43 15] [-32 25] [-22 34] [-47 -8] [-28 -26] [-15 36] [-40 -16] [-20 -42] [16 42] [9 -35] [13 -31] [38 14] [-22 -29] [-14 37] [-40 11] [11 35] [43 10] [37 -25] [13 39] [37 6] [7 -42]
2026-05-07T19:30:10,1,Pessoa #1,33,155,64,M,A,levantamento_bracos,457.85,66.13,16.55,56,-40,-95.0,[11 -39] [37 -19] [2 -52] [11 -51] [-36 -5] [-45 -15] [37 22] [-32 -21] [-24 42] [42 0] [35 -25] [18 -32] [27 -32] [-41 18] [7 -44] [38 -37] [-29 11] [13 47] [-33 -23] [4 36] [11 43] [-47 -19] [38 0] [48 -5] [6 -45] [26 -31] [1 -53] [-17 38] [-45 -16] [-46 4] [-40 -16] [-23 42] [1 39] [11 56] [-18 44] [-22 -42] [38 30] [-41 8] [8 43] [31 30] [40 17] [25 41] [-41 -20] [42 22] [-28 -27] [-17 -34] [-37 25] [45 -26] [-43 23] [49 18] [-4 -43] [45 6] [-7 38] [5 48] [-47 -13] [22 36]
